"rok","hodnota","jednotka","druh_vydaje","slozka_ochrany_zp","dotovana_cinnost"
1998,"0","Kč","kapitálové","Ochrana biodiverzity a krajiny","Ostatní činnosti k ochraně přírody a krajiny j.n."
1998,"366720","Kč","kapitálové","Redukce působení fyzikálních faktorů","Konstrukce a uplatnění protihlukových zařízení"
1998,"76617000","Kč","kapitálové","Redukce působení fyzikálních faktorů","Protiradonová opatření"
1998,,"Kč","kapitálové","Redukce působení fyzikálních faktorů","Přeprava a nakládání s vysoce radioaktivním odpadem"
1998,,"Kč","kapitálové","Redukce působení fyzikálních faktorů","Monitoring k zajišťování úrovně fyzikálních faktorů"
1998,"10745830","Kč","kapitálové","Redukce působení fyzikálních faktorů","Ostatní činnosti k redukci fyzikálních vlivů"
1998,"41161440","Kč","kapitálové","Správa v ochraně životního prostředí","Ústřední státní správa v ochraně životního prostředí"
1998,"44026900","Kč","kapitálové","Správa v ochraně životního prostředí","Ostatní orgány státní správy v ochraně životního prostředí"
1998,,"Kč","kapitálové","Správa v ochraně životního prostředí","Ostatní správa v ekologii"
1998,"21490000","Kč","kapitálové","Výzkum životního prostředí","Výzkum životního prostředí"
1998,,"Kč","kapitálové","Ostatní činnosti v ekologii","Mezinárodní spolupráce v životním prostředí"
1998,"0","Kč","kapitálové","Ostatní činnosti v ekologii","Ekologická výchova a osvěta"
1998,"117957800","Kč","kapitálové","Ostatní činnosti v ekologii","Ekologické programy v dopravě"
1998,"4500000","Kč","kapitálové","Ostatní činnosti v ekologii","Ekologické záležitosti a programy j.n."
1999,"128580770","Kč","běžné ","Ochrana vody","Odvádění a čištění odpadních vod, kaly"
1999,"0","Kč","běžné ","Ochrana vody","Prevence znečišťování vody"
1999,"0","Kč","běžné ","Ochrana vody","Odvádění a čištění odpadních vod  j.n."
1999,"168094260","Kč","běžné ","Ochrana vody","Úprava drobných vodních toků"
1999,"58105800","Kč","běžné ","Ochrana ovzduší","Programy zateplování a úspor energie"
1999,,"Kč","běžné ","Ochrana ovzduší","Odstraňování tuhých emisí"
1999,,"Kč","běžné ","Ochrana ovzduší","Odstraňování plynných emisí"
1999,"0","Kč","běžné ","Ochrana ovzduší","Změny technologií vytápění"
1999,,"Kč","běžné ","Ochrana ovzduší","Opatření ke snižování produkce skleníkových plynů"
1999,"0","Kč","běžné ","Ochrana ovzduší","Změny výrobních technologií za účelem odstranění emisí"
1999,"0","Kč","běžné ","Ochrana ovzduší","Monitoring ochrany ovzduší"
1999,"4362120","Kč","běžné ","Ochrana ovzduší","Ostatní činnosti k ochraně ovzduší j.n."
1999,"0","Kč","běžné ","Nakládání s odpady","Sběr a zpracování druhotných surovin"
1999,"94289900","Kč","běžné ","Nakládání s odpady","Sběr a svoz nebezpečných odpadů"
1999,"44011350","Kč","běžné ","Nakládání s odpady","Sběr a svoz komunálních odpadů"
1999,"3268970","Kč","běžné ","Nakládání s odpady","Sběr a svoz ostatních odpadů"
1999,"0","Kč","běžné ","Nakládání s odpady","Využívání a zneškodnování nebezpečných odpadů"
1999,"157390","Kč","běžné ","Nakládání s odpady","Využívání a zneškodňování komunálních odpadů"
1999,"0","Kč","běžné ","Nakládání s odpady","Využívání a zneškodnování ostatních odpadů"
1999,"0","Kč","běžné ","Nakládání s odpady","Prevence vzniku odpadů"
1999,"0","Kč","běžné ","Nakládání s odpady","Monitoring nakládání s odpady"
1999,"45457660","Kč","běžné ","Nakládání s odpady","Ostatní nakládání s odpady j.n."
1999,"0","Kč","běžné ","Ochrana půdy a podzemní vody","Protierozní ochrana"
1999,"6709430","Kč","běžné ","Ochrana půdy a podzemní vody","Ochrana půdy a podzemní vody proti znečišťujícím infiltracím"
1999,"83939280","Kč","běžné ","Ochrana půdy a podzemní vody","Dekontaminace půd a čištění podzemní vody"
1999,"0","Kč","běžné ","Ochrana půdy a podzemní vody","Monitoring půdy a podzemní vody"
1999,"61824760","Kč","běžné ","Ochrana půdy a podzemní vody","Ostatní ochrana půdy a podzemní vody j.n."
1999,"255781070","Kč","běžné ","Ochrana biodiverzity a krajiny","Celospolečenské funkce lesů"
1999,"3219690","Kč","běžné ","Ochrana biodiverzity a krajiny","Revitalizace říčních systémů"
1999,"45000000","Kč","běžné ","Ochrana biodiverzity a krajiny","Ochrana druhů a stanovišť"
1999,"459728760","Kč","běžné ","Ochrana biodiverzity a krajiny","Chráněné části přírody"
1999,"214561000","Kč","běžné ","Ochrana biodiverzity a krajiny","Rekultivace půdy v důsledku těžební a důlní činnosti"
1999,"191820000","Kč","běžné ","Ochrana biodiverzity a krajiny","Protierozní, protilavinová a protipožární ochrana"
1999,"175000","Kč","běžné ","Ochrana biodiverzity a krajiny","Péče o vzhled obcí a veřejnou zeleň"
1999,"264149130","Kč","běžné ","Ochrana biodiverzity a krajiny","Ostatní činnosti k ochraně přírody a krajiny j.n."
1999,"0","Kč","běžné ","Redukce působení fyzikálních faktorů","Konstrukce a uplatnění protihlukových zařízení"
1999,"1303500","Kč","běžné ","Redukce působení fyzikálních faktorů","Protiradonová opatření"
1999,,"Kč","běžné ","Redukce působení fyzikálních faktorů","Přeprava a nakládání s vysoce radioaktivním odpadem"
1999,"0","Kč","běžné ","Redukce působení fyzikálních faktorů","Monitoring k zajišťování úrovně fyzikálních faktorů"
1999,"27484320","Kč","běžné ","Redukce působení fyzikálních faktorů","Ostatní činnosti k redukci fyzikálních vlivů"
1999,"302792010","Kč","běžné ","Správa v ochraně životního prostředí","Ústřední státní správa v ochraně životního prostředí"
1999,"169032880","Kč","běžné ","Správa v ochraně životního prostředí","Ostatní orgány státní správy v ochraně životního prostředí"
1999,"0","Kč","běžné ","Správa v ochraně životního prostředí","Ostatní správa v ekologii"
1999,"100049030","Kč","běžné ","Výzkum životního prostředí","Výzkum životního prostředí"
1999,"31568960","Kč","běžné ","Ostatní činnosti v ekologii","Mezinárodní spolupráce v životním prostředí"
1999,"17030090","Kč","běžné ","Ostatní činnosti v ekologii","Ekologická výchova a osvěta"
1999,"85943000","Kč","běžné ","Ostatní činnosti v ekologii","Ekologické programy v dopravě"
1999,"107849940","Kč","běžné ","Ostatní činnosti v ekologii","Ekologické záležitosti a programy j.n."
1999,"460051710","Kč","kapitálové","Ochrana vody","Odvádění a čištění odpadních vod, kaly"
1999,"0","Kč","kapitálové","Ochrana vody","Prevence znečišťování vody"
1999,"0","Kč","kapitálové","Ochrana vody","Odvádění a čištění odpadních vod  j.n."
1999,"68214050","Kč","kapitálové","Ochrana vody","Úprava drobných vodních toků"
1999,"252605570","Kč","kapitálové","Ochrana ovzduší","Programy zateplování a úspor energie"
1999,,"Kč","kapitálové","Ochrana ovzduší","Odstraňování tuhých emisí"
1999,,"Kč","kapitálové","Ochrana ovzduší","Odstraňování plynných emisí"
1999,"405243640","Kč","kapitálové","Ochrana ovzduší","Změny technologií vytápění"
1999,,"Kč","kapitálové","Ochrana ovzduší","Opatření ke snižování produkce skleníkových plynů"
1999,,"Kč","kapitálové","Ochrana ovzduší","Změny výrobních technologií za účelem odstranění emisí"
1999,"0","Kč","kapitálové","Ochrana ovzduší","Monitoring ochrany ovzduší"
1999,"0","Kč","kapitálové","Ochrana ovzduší","Ostatní činnosti k ochraně ovzduší j.n."
1999,,"Kč","kapitálové","Nakládání s odpady","Sběr a zpracování druhotných surovin"
1999,"0","Kč","kapitálové","Nakládání s odpady","Sběr a svoz nebezpečných odpadů"
1999,"2046000","Kč","kapitálové","Nakládání s odpady","Sběr a svoz komunálních odpadů"
1999,,"Kč","kapitálové","Nakládání s odpady","Sběr a svoz ostatních odpadů"
1999,,"Kč","kapitálové","Nakládání s odpady","Využívání a zneškodnování nebezpečných odpadů"
1999,,"Kč","kapitálové","Nakládání s odpady","Využívání a zneškodňování komunálních odpadů"
1999,,"Kč","kapitálové","Nakládání s odpady","Využívání a zneškodnování ostatních odpadů"
1999,,"Kč","kapitálové","Nakládání s odpady","Prevence vzniku odpadů"
1999,,"Kč","kapitálové","Nakládání s odpady","Monitoring nakládání s odpady"
1999,"12995000","Kč","kapitálové","Nakládání s odpady","Ostatní nakládání s odpady j.n."
1999,,"Kč","kapitálové","Ochrana půdy a podzemní vody","Protierozní ochrana"
1999,"22435660","Kč","kapitálové","Ochrana půdy a podzemní vody","Ochrana půdy a podzemní vody proti znečišťujícím infiltracím"
1999,"76946990","Kč","kapitálové","Ochrana půdy a podzemní vody","Dekontaminace půd a čištění podzemní vody"
1999,,"Kč","kapitálové","Ochrana půdy a podzemní vody","Monitoring půdy a podzemní vody"
1999,"0","Kč","kapitálové","Ochrana půdy a podzemní vody","Ostatní ochrana půdy a podzemní vody j.n."
1999,"245676590","Kč","kapitálové","Ochrana biodiverzity a krajiny","Celospolečenské funkce lesů"
1999,"399223270","Kč","kapitálové","Ochrana biodiverzity a krajiny","Revitalizace říčních systémů"
1999,"10000000","Kč","kapitálové","Ochrana biodiverzity a krajiny","Ochrana druhů a stanovišť"
1999,"126029010","Kč","kapitálové","Ochrana biodiverzity a krajiny","Chráněné části přírody"
1999,"4439000","Kč","kapitálové","Ochrana biodiverzity a krajiny","Rekultivace půdy v důsledku těžební a důlní činnosti"
1999,"217153400","Kč","kapitálové","Ochrana biodiverzity a krajiny","Protierozní, protilavinová a protipožární ochrana"
1999,,"Kč","kapitálové","Ochrana biodiverzity a krajiny","Péče o vzhled obcí a veřejnou zeleň"
1999,,"Kč","kapitálové","Ochrana biodiverzity a krajiny","Ostatní činnosti k ochraně přírody a krajiny j.n."
1999,"99200","Kč","kapitálové","Redukce působení fyzikálních faktorů","Konstrukce a uplatnění protihlukových zařízení"
1999,"61604000","Kč","kapitálové","Redukce působení fyzikálních faktorů","Protiradonová opatření"
1999,,"Kč","kapitálové","Redukce působení fyzikálních faktorů","Přeprava a nakládání s vysoce radioaktivním odpadem"
1999,,"Kč","kapitálové","Redukce působení fyzikálních faktorů","Monitoring k zajišťování úrovně fyzikálních faktorů"
1999,"7599410","Kč","kapitálové","Redukce působení fyzikálních faktorů","Ostatní činnosti k redukci fyzikálních vlivů"
1999,"45599560","Kč","kapitálové","Správa v ochraně životního prostředí","Ústřední státní správa v ochraně životního prostředí"
1999,"22995640","Kč","kapitálové","Správa v ochraně životního prostředí","Ostatní orgány státní správy v ochraně životního prostředí"
1999,,"Kč","kapitálové","Správa v ochraně životního prostředí","Ostatní správa v ekologii"
1999,"29331830","Kč","kapitálové","Výzkum životního prostředí","Výzkum životního prostředí"
1999,,"Kč","kapitálové","Ostatní činnosti v ekologii","Mezinárodní spolupráce v životním prostředí"
