"rok","hodnota","jednotka","druh_vydaje","slozka_ochrany_zp","dotovana_cinnost"
1998,"0","Kč","kapitálové","Ochrana ovzduší","Monitoring ochrany ovzduší"
1998,"9869880","Kč","kapitálové","Ochrana ovzduší","Ostatní činnosti k ochraně ovzduší j.n."
1998,,"Kč","kapitálové","Nakládání s odpady","Sběr a zpracování druhotných surovin"
1998,"0","Kč","kapitálové","Nakládání s odpady","Sběr a svoz nebezpečných odpadů"
1998,,"Kč","kapitálové","Nakládání s odpady","Sběr a svoz komunálních odpadů"
1998,,"Kč","kapitálové","Nakládání s odpady","Sběr a svoz ostatních odpadů"
1998,,"Kč","kapitálové","Nakládání s odpady","Využívání a zneškodnování nebezpečných odpadů"
1998,"39561940","Kč","kapitálové","Nakládání s odpady","Využívání a zneškodňování komunálních odpadů"
1998,,"Kč","kapitálové","Nakládání s odpady","Využívání a zneškodnování ostatních odpadů"
1998,"237000","Kč","kapitálové","Nakládání s odpady","Prevence vzniku odpadů"
1998,,"Kč","kapitálové","Nakládání s odpady","Monitoring nakládání s odpady"
1998,"35598680","Kč","kapitálové","Nakládání s odpady","Ostatní nakládání s odpady j.n."
1998,,"Kč","kapitálové","Ochrana půdy a podzemní vody","Protierozní ochrana"
1998,"0","Kč","kapitálové","Ochrana půdy a podzemní vody","Ochrana půdy a podzemní vody proti znečišťujícím infiltracím"
1998,,"Kč","kapitálové","Ochrana půdy a podzemní vody","Dekontaminace půd a čištění podzemní vody"
1998,,"Kč","kapitálové","Ochrana půdy a podzemní vody","Monitoring půdy a podzemní vody"
1998,"0","Kč","kapitálové","Ochrana půdy a podzemní vody","Ostatní ochrana půdy a podzemní vody j.n."
1998,"0","Kč","kapitálové","Ochrana biodiverzity a krajiny","Celospolečenské funkce lesů"
1998,"0","Kč","kapitálové","Ochrana biodiverzity a krajiny","Revitalizace říčních systémů"
1998,"0","Kč","kapitálové","Ochrana biodiverzity a krajiny","Ochrana druhů a stanovišť"
1998,"171760","Kč","kapitálové","Ochrana biodiverzity a krajiny","Chráněné části přírody"
1998,"0","Kč","kapitálové","Ochrana biodiverzity a krajiny","Rekultivace půdy v důsledku těžební a důlní činnosti"
1998,"0","Kč","kapitálové","Ochrana biodiverzity a krajiny","Protierozní, protilavinová a protipožární ochrana"
1998,,"Kč","kapitálové","Ochrana biodiverzity a krajiny","Péče o vzhled obcí a veřejnou zeleň"
1998,"10067250","Kč","kapitálové","Ochrana biodiverzity a krajiny","Ostatní činnosti k ochraně přírody a krajiny j.n."
1998,"0","Kč","kapitálové","Redukce působení fyzikálních faktorů","Konstrukce a uplatnění protihlukových zařízení"
1998,"0","Kč","kapitálové","Redukce působení fyzikálních faktorů","Protiradonová opatření"
1998,,"Kč","kapitálové","Redukce působení fyzikálních faktorů","Přeprava a nakládání s vysoce radioaktivním odpadem"
1998,,"Kč","kapitálové","Redukce působení fyzikálních faktorů","Monitoring k zajišťování úrovně fyzikálních faktorů"
1998,,"Kč","kapitálové","Redukce působení fyzikálních faktorů","Ostatní činnosti k redukci fyzikálních vlivů"
1998,,"Kč","kapitálové","Správa v ochraně životního prostředí","Ústřední státní správa v ochraně životního prostředí"
1998,,"Kč","kapitálové","Správa v ochraně životního prostředí","Ostatní orgány státní správy v ochraně životního prostředí"
1998,"6281130","Kč","kapitálové","Správa v ochraně životního prostředí","Ostatní správa v ekologii"
1998,"0","Kč","kapitálové","Výzkum životního prostředí","Výzkum životního prostředí"
1998,,"Kč","kapitálové","Ostatní činnosti v ekologii","Mezinárodní spolupráce v životním prostředí"
1998,,"Kč","kapitálové","Ostatní činnosti v ekologii","Ekologická výchova a osvěta"
1998,"1780940","Kč","kapitálové","Ostatní činnosti v ekologii","Ekologické programy v dopravě"
1998,"3719630","Kč","kapitálové","Ostatní činnosti v ekologii","Ekologické záležitosti a programy j.n."
1999,"0","Kč","běžné ","Ochrana vody","Odvádění a čištění odpadních vod, kaly"
1999,"0","Kč","běžné ","Ochrana vody","Prevence znečišťování vody"
1999,"0","Kč","běžné ","Ochrana vody","Odvádění a čištění odpadních vod  j.n."
1999,"992960","Kč","běžné ","Ochrana vody","Úprava drobných vodních toků"
1999,"0","Kč","běžné ","Ochrana ovzduší","Programy zateplování a úspor energie"
1999,,"Kč","běžné ","Ochrana ovzduší","Odstraňování tuhých emisí"
1999,,"Kč","běžné ","Ochrana ovzduší","Odstraňování plynných emisí"
1999,"1448220","Kč","běžné ","Ochrana ovzduší","Změny technologií vytápění"
1999,,"Kč","běžné ","Ochrana ovzduší","Opatření ke snižování produkce skleníkových plynů"
1999,"0","Kč","běžné ","Ochrana ovzduší","Změny výrobních technologií za účelem odstranění emisí"
1999,"0","Kč","běžné ","Ochrana ovzduší","Monitoring ochrany ovzduší"
1999,"4383220","Kč","běžné ","Ochrana ovzduší","Ostatní činnosti k ochraně ovzduší j.n."
1999,"0","Kč","běžné ","Nakládání s odpady","Sběr a zpracování druhotných surovin"
1999,"0","Kč","běžné ","Nakládání s odpady","Sběr a svoz nebezpečných odpadů"
1999,"0","Kč","běžné ","Nakládání s odpady","Sběr a svoz komunálních odpadů"
1999,"0","Kč","běžné ","Nakládání s odpady","Sběr a svoz ostatních odpadů"
1999,"620770","Kč","běžné ","Nakládání s odpady","Využívání a zneškodnování nebezpečných odpadů"
1999,"0","Kč","běžné ","Nakládání s odpady","Využívání a zneškodňování komunálních odpadů"
1999,"350000","Kč","běžné ","Nakládání s odpady","Využívání a zneškodnování ostatních odpadů"
1999,"0","Kč","běžné ","Nakládání s odpady","Prevence vzniku odpadů"
1999,"0","Kč","běžné ","Nakládání s odpady","Monitoring nakládání s odpady"
1999,"0","Kč","běžné ","Nakládání s odpady","Ostatní nakládání s odpady j.n."
1999,"0","Kč","běžné ","Ochrana půdy a podzemní vody","Protierozní ochrana"
1999,"0","Kč","běžné ","Ochrana půdy a podzemní vody","Ochrana půdy a podzemní vody proti znečišťujícím infiltracím"
1999,"0","Kč","běžné ","Ochrana půdy a podzemní vody","Dekontaminace půd a čištění podzemní vody"
1999,"0","Kč","běžné ","Ochrana půdy a podzemní vody","Monitoring půdy a podzemní vody"
1999,"0","Kč","běžné ","Ochrana půdy a podzemní vody","Ostatní ochrana půdy a podzemní vody j.n."
1999,"36330030","Kč","běžné ","Ochrana biodiverzity a krajiny","Celospolečenské funkce lesů"
1999,"0","Kč","běžné ","Ochrana biodiverzity a krajiny","Revitalizace říčních systémů"
1999,"747550","Kč","běžné ","Ochrana biodiverzity a krajiny","Ochrana druhů a stanovišť"
1999,"48673130","Kč","běžné ","Ochrana biodiverzity a krajiny","Chráněné části přírody"
1999,"0","Kč","běžné ","Ochrana biodiverzity a krajiny","Rekultivace půdy v důsledku těžební a důlní činnosti"
1999,"0","Kč","běžné ","Ochrana biodiverzity a krajiny","Protierozní, protilavinová a protipožární ochrana"
1999,"0","Kč","běžné ","Ochrana biodiverzity a krajiny","Péče o vzhled obcí a veřejnou zeleň"
1999,"48561300","Kč","běžné ","Ochrana biodiverzity a krajiny","Ostatní činnosti k ochraně přírody a krajiny j.n."
1999,"0","Kč","běžné ","Redukce působení fyzikálních faktorů","Konstrukce a uplatnění protihlukových zařízení"
1999,"0","Kč","běžné ","Redukce působení fyzikálních faktorů","Protiradonová opatření"
1999,,"Kč","běžné ","Redukce působení fyzikálních faktorů","Přeprava a nakládání s vysoce radioaktivním odpadem"
1999,"0","Kč","běžné ","Redukce působení fyzikálních faktorů","Monitoring k zajišťování úrovně fyzikálních faktorů"
1999,"0","Kč","běžné ","Redukce působení fyzikálních faktorů","Ostatní činnosti k redukci fyzikálních vlivů"
1999,"0","Kč","běžné ","Správa v ochraně životního prostředí","Ústřední státní správa v ochraně životního prostředí"
1999,"0","Kč","běžné ","Správa v ochraně životního prostředí","Ostatní orgány státní správy v ochraně životního prostředí"
1999,"74294930","Kč","běžné ","Správa v ochraně životního prostředí","Ostatní správa v ekologii"
1999,"0","Kč","běžné ","Výzkum životního prostředí","Výzkum životního prostředí"
1999,"0","Kč","běžné ","Ostatní činnosti v ekologii","Mezinárodní spolupráce v životním prostředí"
1999,"5263500","Kč","běžné ","Ostatní činnosti v ekologii","Ekologická výchova a osvěta"
1999,"0","Kč","běžné ","Ostatní činnosti v ekologii","Ekologické programy v dopravě"
1999,"0","Kč","běžné ","Ostatní činnosti v ekologii","Ekologické záležitosti a programy j.n."
1999,"1062638210","Kč","kapitálové","Ochrana vody","Odvádění a čištění odpadních vod, kaly"
1999,"0","Kč","kapitálové","Ochrana vody","Prevence znečišťování vody"
1999,"0","Kč","kapitálové","Ochrana vody","Odvádění a čištění odpadních vod  j.n."
1999,"4420020","Kč","kapitálové","Ochrana vody","Úprava drobných vodních toků"
1999,"0","Kč","kapitálové","Ochrana ovzduší","Programy zateplování a úspor energie"
1999,,"Kč","kapitálové","Ochrana ovzduší","Odstraňování tuhých emisí"
1999,"233570","Kč","kapitálové","Ochrana ovzduší","Odstraňování plynných emisí"
1999,"1005360160","Kč","kapitálové","Ochrana ovzduší","Změny technologií vytápění"
1999,"8573680","Kč","kapitálové","Ochrana ovzduší","Opatření ke snižování produkce skleníkových plynů"
1999,"16525820","Kč","kapitálové","Ochrana ovzduší","Změny výrobních technologií za účelem odstranění emisí"
1999,"0","Kč","kapitálové","Ochrana ovzduší","Monitoring ochrany ovzduší"
1999,"3231830","Kč","kapitálové","Ochrana ovzduší","Ostatní činnosti k ochraně ovzduší j.n."
1999,,"Kč","kapitálové","Nakládání s odpady","Sběr a zpracování druhotných surovin"
1999,"0","Kč","kapitálové","Nakládání s odpady","Sběr a svoz nebezpečných odpadů"
1999,"0","Kč","kapitálové","Nakládání s odpady","Sběr a svoz komunálních odpadů"
1999,,"Kč","kapitálové","Nakládání s odpady","Sběr a svoz ostatních odpadů"
1999,"7672780","Kč","kapitálové","Nakládání s odpady","Využívání a zneškodnování nebezpečných odpadů"
1999,"161176530","Kč","kapitálové","Nakládání s odpady","Využívání a zneškodňování komunálních odpadů"
1999,"737390","Kč","kapitálové","Nakládání s odpady","Využívání a zneškodnování ostatních odpadů"
1999,,"Kč","kapitálové","Nakládání s odpady","Prevence vzniku odpadů"
1999,,"Kč","kapitálové","Nakládání s odpady","Monitoring nakládání s odpady"
1999,"75727960","Kč","kapitálové","Nakládání s odpady","Ostatní nakládání s odpady j.n."
1999,,"Kč","kapitálové","Ochrana půdy a podzemní vody","Protierozní ochrana"
1999,"0","Kč","kapitálové","Ochrana půdy a podzemní vody","Ochrana půdy a podzemní vody proti znečišťujícím infiltracím"
1999,"0","Kč","kapitálové","Ochrana půdy a podzemní vody","Dekontaminace půd a čištění podzemní vody"
1999,,"Kč","kapitálové","Ochrana půdy a podzemní vody","Monitoring půdy a podzemní vody"
1999,"0","Kč","kapitálové","Ochrana půdy a podzemní vody","Ostatní ochrana půdy a podzemní vody j.n."
1999,"0","Kč","kapitálové","Ochrana biodiverzity a krajiny","Celospolečenské funkce lesů"
1999,"0","Kč","kapitálové","Ochrana biodiverzity a krajiny","Revitalizace říčních systémů"
1999,"0","Kč","kapitálové","Ochrana biodiverzity a krajiny","Ochrana druhů a stanovišť"
1999,"971480","Kč","kapitálové","Ochrana biodiverzity a krajiny","Chráněné části přírody"
1999,"0","Kč","kapitálové","Ochrana biodiverzity a krajiny","Rekultivace půdy v důsledku těžební a důlní činnosti"
1999,"0","Kč","kapitálové","Ochrana biodiverzity a krajiny","Protierozní, protilavinová a protipožární ochrana"
1999,,"Kč","kapitálové","Ochrana biodiverzity a krajiny","Péče o vzhled obcí a veřejnou zeleň"
1999,"1237700","Kč","kapitálové","Ochrana biodiverzity a krajiny","Ostatní činnosti k ochraně přírody a krajiny j.n."
1999,"0","Kč","kapitálové","Redukce působení fyzikálních faktorů","Konstrukce a uplatnění protihlukových zařízení"
1999,"0","Kč","kapitálové","Redukce působení fyzikálních faktorů","Protiradonová opatření"
1999,,"Kč","kapitálové","Redukce působení fyzikálních faktorů","Přeprava a nakládání s vysoce radioaktivním odpadem"
1999,,"Kč","kapitálové","Redukce působení fyzikálních faktorů","Monitoring k zajišťování úrovně fyzikálních faktorů"
1999,"0","Kč","kapitálové","Redukce působení fyzikálních faktorů","Ostatní činnosti k redukci fyzikálních vlivů"
1999,"0","Kč","kapitálové","Správa v ochraně životního prostředí","Ústřední státní správa v ochraně životního prostředí"
1999,"0","Kč","kapitálové","Správa v ochraně životního prostředí","Ostatní orgány státní správy v ochraně životního prostředí"
1999,"6895240","Kč","kapitálové","Správa v ochraně životního prostředí","Ostatní správa v ekologii"
1999,"0","Kč","kapitálové","Výzkum životního prostředí","Výzkum životního prostředí"
1999,,"Kč","kapitálové","Ostatní činnosti v ekologii","Mezinárodní spolupráce v životním prostředí"
1999,"0","Kč","kapitálové","Ostatní činnosti v ekologii","Ekologická výchova a osvěta"
1999,"0","Kč","kapitálové","Ostatní činnosti v ekologii","Ekologické programy v dopravě"
